派别,场所名称,地址,负责人姓名,省级行政区,省属地级行政区/直辖市属县区级行政区,经纬度,,,,,,
全真,玉皇阁,河北省邯郸市成安县城隍庙,陈汉忠,河北,邯郸市,"114.695429,36.439906",,,,,,
全真,太山庙,河北省邯郸市成安县大吕彪,郭香臣,河北,邯郸市,"114.761788,36.386051",,,,,,
全真,奶奶庙,河北省邯郸市成安县西街村,刘凤英,河北,邯郸市,"114.689408,36.442420",,,,,,
全真,关帝庙,河北省邯郸市马头经济开发区城南办事处杜村,柳尚明,河北,邯郸市,"114.406578,36.454726",,,,,,
全真,三霄宫,河北省邯郸市马头经济开发区城南办事处小马庄村,马彦章,河北,邯郸市,"114.389821,36.453491",,,,,,
全真,天仙庙,河北省邯郸市峰峰矿区大社镇佐城村,王海祥,河北,邯郸市,"114.273552,36.518723",,,,,,
全真,红山观,河北省邯郸市武安市磁山二街,霍二胖,河北,邯郸市,"114.108301,36.578293",,,,,,
全真,黑龙书院,河北省邯郸市武安市午汲镇南白石,杨宝田,河北,邯郸市,"114.101336,36.659860",,,,,,
全真,云霄观,河北省邯郸市武安市北安庄乡东土山,魏芳珍,河北,邯郸市,"114.177813,36.744267",,,,,,
全真,碧霞祠,河北省邯郸市武安市西土山乡东土山村,孙有文,河北,邯郸市,"114.195374,36.743843",,,,,,
全真,碧霞元君庙,河北省邯郸市武安市西关街,李金平,河北,邯郸市,"114.191335,36.693282",,,,,,
全真,玉皇宫,河北省邯郸市武安市贺进镇贺进村,郅树岐,河北,邯郸市,"114.021409,36.792825",,,,,,
全真,吕仙祠,河北省邯郸市武安市磁山镇吕天井村,吕本相,河北,邯郸市,"114.061842,36.541331",,,,,,
全真,财神庙,河北省邯郸市武安市康二城镇大旺村,常爱云,河北,邯郸市,"114.253341,36.714182",,,,,,
全真,吕祖庙,河北省邯郸市磁县光录镇曲沟村,杨希潮,河北,邯郸市,"114.357534,36.416640",,,,,,
全真,玉皇庙,河北省邯郸市磁县光录镇曲沟村,丁保才,河北,邯郸市,"114.357534,36.416640",,,,,,
全真,火神庙,河北省邯郸市磁县磁州镇兴仁社区,宋玉生,河北,邯郸市,"114.278819,36.430524",,,,,,
全真,泰山奶奶庙,河北省邯郸市磁县辛庄营乡南豆公村,杨秀珍,河北,邯郸市,"114.494160,36.447978",,,,,,
全真,黑龙庙,河北省邯郸市磁县林坛镇西彭厢村,郭玉良,河北,邯郸市,"114.304112,36.497764",,,,,,
全真,马王庙,河北省邯郸市磁县磁州镇明德社区,白秀芹,河北,邯郸市,"114.278819,36.430524",,,,,,
正一,城隍庙,河北省邯郸市丛台区四季青新村,贾凤岭,河北,邯郸市,"114.473726,36.614418",,,,,,
正一,石公祠,河北省邯郸市丛台区新东庄村,张凤云,河北,邯郸市,"114.511817,36.612369",,,,,,
正一,黑龙庙,河北省邯郸市丛台区苏曹河东南街,李京秀,河北,邯郸市,"114.512504,36.626365",,,,,,
正一,老爷庙,河北省邯郸市丛台区北苏曹河西村大桥街西头,姜金生,河北,邯郸市,"114.507387,36.634875",,,,,,
正一,慈航观,河北省邯郸市丛台区三里铺北关街,王有金,河北,邯郸市,"114.487445,36.621426",,,,,,
正一,玉皇庙,河北省邯郸市丛台区苏曹河东桥东北街,戴志金,河北,邯郸市,"114.512504,36.626365",,,,,,
正一,玉皇阁,河北省邯郸市丛台区北关街北关社区,孟庆云,河北,邯郸市,"114.481770,36.623547",,,,,,
正一,南坛老祖庙,河北省邯郸市邯山区煤市街,裴领群,河北,邯郸市,"114.501174,36.581128",,,,,,
正一,泰山碧霞寺,河北省邯郸市肥乡县元固乡西屯庄村,张兴的,河北,邯郸市,"114.833060,36.512815",,,,,,
正一,玉皇观,河北省邯郸市肥乡县屯庄营乡屯庄营村,程瑞娥,河北,邯郸市,"114.907842,36.554158",,,,,,
全真,鬼谷观,河北省邯郸市临漳县香菜营乡盐食村,王青芳,河北,邯郸市,"114.463958,36.337872",,,,,,
全真,凤凰顶蓬莱阁,河北省邯郸市涉县龙虎山石泊村,郭金林,河北,邯郸市,"113.844795,36.644530",,,,,,
全真,龙王堂,河北省张家口市涿鹿县涿鹿镇罗庄村,许志刚,河北,张家口市,"115.139661,40.379179",,,,,,
全真,灵霄观,河北省张家口市赤城县赤城镇东龙村东山根,李金河,河北,张家口市,"115.837954,40.914228",,,,,,
全真,碧霞祠,河北省沧州市吴桥县梁集镇王台村,王国玉,河北,沧州市,"116.497851,37.760553",,,,,,
全真,门龙观,河北省沧州市青县清州镇南拨子村,董玉格,河北,沧州市,"116.841069,38.609193",,,,,,
全真,青云观,河北省沧州市青县金牛镇觉道庄村,郭玉瑞,河北,沧州市,"117.051511,38.610580",,,,,,
全真,三清宫,河北省沧州市青县上伍乡上伍村,韩中寅,河北,沧州市,"116.918505,38.516185",,,,,,
正一,龙母庙,河北省衡水市武强县街关镇吴家城村,宋秀芬,河北,衡水市,"115.794945,37.930442",,,,,,
全真,玉清观,河北省唐山市开平区北环路6号,董崇文,河北,唐山市,"118.269359,39.681770",,,,,,
全真,碧霞宫,河北省唐山市迁西县三屯营景忠山,陈高坤,河北,唐山市,"118.208100,40.201786",,,,,,
全真,天云古观,河北省唐山市丰润区火石营镇黄昏峪村,张宝仲,河北,唐山市,"118.222834,40.004050",,,,,,
正一,玉皇宫,河北省衡水市桃城区赵圈镇张家圈村,张书全,河北,衡水市,"115.520088,37.736643",,,,,,
